idx,y_pred,y_prob
0,1,0.5556258675835898
1,0,0.34601539049924485
2,0,0.1632927104478265
3,0,0.3171741551980676
4,0,0.2946640624075155
5,1,0.5471615764037464
6,0,0.31182768440104014
7,0,0.2024065099668098
8,1,0.7064212882012147
9,1,0.986249554405052
10,0,0.37201736226768395
11,1,0.9826352162408456
12,0,0.1987772148623254
13,0,0.35705428405287215
14,0,0.25410596066874297
15,1,0.53641415978318
16,1,0.8510571826918898
17,0,0.40201334689435325
18,1,0.9300653126978269
19,0,0.35064610497434573
20,0,0.24353827921819554
21,0,0.2982096392711342
22,1,0.9720996233936492
23,0,0.2183049883340662
24,0,0.22010521825468538
25,1,0.6310158747365063
26,1,0.9504035476488463
27,0,0.2373840038141689
28,0,0.2802890814194014
29,1,0.8686240567311168
30,0,0.3961216358548083
31,0,0.20480427238495957
32,1,0.9151669641696859
33,1,0.5033029590289506
34,0,0.3740452621411454
35,0,0.4108313862702213
36,1,0.9579025476636629
37,0,0.023814096163531098
38,1,0.9431402411535464
39,0,0.17996510031317928
40,1,0.5153842851528431
41,0,0.19734751785794788
42,0,0.233906834554284
43,0,0.2031513500133293
44,0,0.20771288895080128
45,0,0.3501787037704202
46,0,0.31751683148681703
47,1,0.8972898780880716
48,1,0.9095176263126638
49,0,0.3275539516452665
50,0,0.4529917274480417
51,0,0.07355566720439465
52,1,0.5625923729192355
53,1,0.8421150336489545
54,0,0.2909573938665042
55,0,0.2987182744852562
56,0,0.21843963563067675
57,0,0.360479124787117
58,0,0.29482153921555077
59,0,0.3563890435904711
60,0,0.3941551880729924
61,0,0.2435289631141561
62,0,0.1983086787754368
63,0,0.31310070108746013
64,1,0.9826192136369406
65,1,0.7972994467874234
66,0,0.08689474958765178
67,0,0.12127721333898105
68,0,0.36253392968277415
69,0,0.37389716993445615
70,0,0.047903262573537574
71,1,0.9106217648241574
72,0,0.2790981664243647
73,0,0.22884275766577616
74,0,0.24667088659503084
75,1,0.8219119314795701
76,1,0.780125142941135
77,1,0.9496373084894065
78,0,0.012749480451691496
79,0,0.24964995786963343
80,0,0.25464442156586137
81,0,0.15549682119603733
82,0,0.29289457023233423
83,0,0.2735002696108791
84,0,0.2853251790702277
85,1,0.9956158120091763
86,0,0.3995245151128311
87,0,0.45118898049745715
88,1,0.6486634746315335
89,1,0.9752707088703266
90,0,0.2101470650236795
91,0,0.3049558468788564
92,0,0.3736213275167659
93,1,0.9888019113426083
94,0,0.23079802654865184
95,1,0.8904369379165432
96,1,0.7010312327061097
97,0,0.1965653578593555
98,0,0.3180505638565307
99,0,0.1537281648724412
100,1,0.9630603157936837
101,0,0.27368983357100773
102,0,0.20003438709484506
103,0,0.36533956914315774
104,0,0.2828534844747324
105,0,0.2862050445484129
106,0,0.24603701874437772
107,1,0.6573526351123167
108,1,0.9510032641774658
109,0,0.17956712712660397
110,0,0.41987885728128965
111,0,0.1541434716230161
112,1,0.5694595666461442
113,0,0.02467275166362317
114,0,0.24307410965816945
115,0,0.1462622034501103
116,0,0.24574556486552468
117,0,0.32376721272935477
118,1,0.9108256218816809
119,1,0.9809819355105551
120,1,0.9623058511720636
121,0,0.4829575591494671
122,0,0.24594929177944683
123,1,0.5018891651385966
124,1,0.8013423259571668
125,0,0.110931385107139
126,0,0.24483749150000453
127,0,0.17059243005511707
128,1,0.886673399986265
129,0,0.14083634285327895
130,1,0.5202566142295427
131,0,0.3667825774884291
132,0,0.20560925100066016
133,1,0.8958679733089341
134,0,0.22157392032521397
135,0,0.1616915768691121
136,0,0.19070541957194884
137,1,0.9489725680161122
138,1,0.8683393592227933
139,0,0.2029065709426251
140,0,0.2871439819515195
141,0,0.26543513114601835
142,1,0.8836419476314048
143,0,0.043153524091857846
144,1,0.856781611151138
145,0,0.018643440982683807
146,0,0.40207267116134526
147,1,0.9693977703621939
148,0,0.22654150913982327
149,0,0.22233841487947126
150,0,0.33995618598232413
151,1,0.9641183090642843
152,0,0.2999016026155205
153,1,0.8367120601782915
154,0,0.20966971875705148
155,0,0.46763975242787376
156,1,0.5414239915722457
157,0,0.1601533745678833
158,0,0.22148599504379743
159,0,0.26939657348676893
160,1,0.9236729586707427
161,0,0.2857329696985626
162,0,0.16760148590438664
163,1,0.802025014379072
164,1,0.8973590021403333
165,1,0.8846901200776155
166,1,0.8887767201262124
167,0,0.4420234447163462
168,1,0.9762013483008732
169,0,0.3006717820259275
170,0,0.25186422515984974
171,0,0.22353401284795482
