"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","batch_size","class_weight","clf__C","clf__activation","clf__alpha","clf__batch_size","clf__class_weight","clf__colsample_bytree","clf__criterion","clf__hidden_layer_sizes","clf__learning_rate","clf__learning_rate_init","clf__max_depth","clf__max_features","clf__max_iter","clf__min_samples_leaf","clf__min_samples_split","clf__n_estimators","clf__penalty","clf__reg_alpha","clf__reg_lambda","clf__solver","clf__subsample","cv","dataset","dropout","epochs","hidden_layers","l2","lr","model","search_n_iter","val_accuracy","val_auc","val_f1","val_precision","val_recall"
"2025-08-13 01:06:01","13.2s","83b8863b4c4248a8ad4d4f0a6c3f44a3","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(128, 64)","0.001","0.001","mlp","","0.6253164556962025","0.8759702118732955","0.6824034334763948","0.5335570469798657","0.9464285714285714"
"2025-08-13 00:57:17","12.1s","f6cc2a1998b544b7820f7ab6a1d752c8","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","80","(128,)","0.0001","0.0005","mlp","","0.6227848101265823","0.8535504510174113","0.6823027718550106","0.53156146179402","0.9523809523809523"
"2025-08-13 00:20:07","11.8s","3c5803f1a7cd4a799985c3b626ccd502","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(64,)","0.0001","0.001","mlp","","0.6227848101265823","0.8181246066708622","0.6823027718550106","0.53156146179402","0.9523809523809523"
"2025-08-13 01:24:45","14.3s","5951f6f1c7784591ac6a96fb264187ea","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(128, 64, 32)","1e-05","0.001","mlp","","0.620253164556962","0.8713027061044681","0.6822033898305084","0.5296052631578947","0.9583333333333334"
"2025-08-13 01:26:51","13.7s","b683dd1fc5e34831a16258c9cf3a4a6a","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(128, 64, 32)","1e-05","0.0005","mlp","","0.6354430379746835","0.776903713027061","0.6814159292035399","0.5422535211267606","0.9166666666666666"
"2025-08-13 01:18:50","12.9s","48de92b03ae543f6962e62a48fc2473a","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","40","(128, 64)","1e-05","0.0005","mlp","","0.6708860759493671","0.7628749737780575","0.6813725490196078","0.5791666666666667","0.8273809523809523"
"2025-08-13 01:35:45","13.9s","3fea84d71b8044f8adf84a37b0c36818","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.2","40","(128, 64, 32)","1e-05","0.0005","mlp","","0.6632911392405063","0.769273127753304","0.6810551558752996","0.570281124497992","0.8452380952380952"
"2025-08-13 00:22:29","11.7s","fd4fb9ba3f2e427b9059d5e98413c4b9","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(64,)","0.001","0.001","mlp","","0.6303797468354431","0.7785556954059156","0.6798245614035088","0.5381944444444444","0.9226190476190477"
"2025-08-13 01:49:55","14.6s","47e36b65f9ac4f5d91e245b2e1415f26","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","40","(128, 64, 32)","0.001","0.0005","mlp","","0.7215189873417721","0.7803912313824208","0.6783625730994152","0.6666666666666666","0.6904761904761905"
"2025-08-13 01:46:05","14.0s","10b6c034473841579650793860e43aef","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","40","(128, 64, 32)","0.0001","0.001","mlp","","0.6278481012658228","0.7533301867002308","0.6783369803063458","0.5363321799307958","0.9226190476190477"
