idx,y_pred,y_prob
0,0,0.48691874742507935
1,0,0.38244757056236267
2,0,0.3499698042869568
3,0,0.40631791949272156
4,0,0.4019174873828888
5,0,0.40629005432128906
6,0,0.4229719638824463
7,0,0.2848707139492035
8,1,0.5570045709609985
9,1,0.8918088674545288
10,0,0.38707873225212097
11,1,0.8504575490951538
12,0,0.464260458946228
13,0,0.2833018898963928
14,0,0.4000066816806793
15,0,0.37494367361068726
16,1,0.8688643574714661
17,0,0.3834102153778076
18,1,0.8912824392318726
19,0,0.3471078872680664
20,0,0.4661027491092682
21,0,0.4378647208213806
22,1,0.8554345369338989
23,0,0.37888282537460327
24,0,0.4619329869747162
25,1,0.5516672730445862
26,1,0.6940157413482666
27,0,0.4042108654975891
28,0,0.36891964077949524
29,1,0.8012294173240662
30,0,0.47432827949523926
31,0,0.3692350387573242
32,1,0.5226535797119141
33,0,0.47307613492012024
34,0,0.4411555826663971
35,0,0.31753674149513245
36,1,0.824036717414856
37,0,0.04730312526226044
38,1,0.8075402975082397
39,0,0.3062988221645355
40,0,0.4693390727043152
41,0,0.34217578172683716
42,0,0.10337619483470917
43,0,0.20342256128787994
44,0,0.1571270078420639
45,0,0.3430282175540924
46,1,0.5040566921234131
47,1,0.6421823501586914
48,1,0.8653833866119385
49,0,0.4191107749938965
50,0,0.4771420359611511
51,0,0.24649232625961304
52,0,0.37425369024276733
53,1,0.8206305503845215
54,0,0.4087796211242676
55,0,0.2355496734380722
56,0,0.35367485880851746
57,0,0.37282413244247437
58,0,0.4605778157711029
59,1,0.6116975545883179
60,0,0.48499977588653564
61,0,0.3673166036605835
62,0,0.3887711465358734
63,0,0.29383403062820435
64,1,0.7400802373886108
65,1,0.7915711402893066
66,0,0.18512572348117828
67,0,0.29281631112098694
68,0,0.4467465281486511
69,0,0.37739628553390503
70,0,0.04744921997189522
71,1,0.7762211561203003
72,0,0.4045579433441162
73,0,0.4605973958969116
74,0,0.4406338930130005
75,1,0.8718669414520264
76,1,0.6391974091529846
77,1,0.8100519180297852
78,0,0.049704547971487045
79,0,0.36859411001205444
80,0,0.40164753794670105
81,0,0.18731454014778137
82,0,0.4642810523509979
