idx,y_pred,y_prob
0,1,0.618715226650238
1,0,0.4175836741924286
2,0,0.25306814908981323
3,0,0.4391370117664337
4,0,0.33377647399902344
5,0,0.47006821632385254
6,0,0.3039018511772156
7,0,0.2983276844024658
8,1,0.6851627826690674
9,1,0.9077325463294983
10,0,0.3710812032222748
11,1,0.9078410267829895
12,0,0.2927441895008087
13,0,0.30562126636505127
14,0,0.31151697039604187
15,1,0.5939549207687378
16,1,0.8208758234977722
17,0,0.38314586877822876
18,1,0.8757777214050293
19,0,0.475144624710083
20,0,0.3244290351867676
21,0,0.3797956705093384
22,1,0.8724513053894043
23,0,0.3035178482532501
24,0,0.3302778899669647
25,1,0.59125816822052
26,1,0.903521716594696
27,0,0.3698863983154297
28,0,0.22417579591274261
29,1,0.8801477551460266
30,0,0.386700302362442
31,0,0.2807896137237549
32,1,0.8099437952041626
33,1,0.5009415149688721
34,0,0.3890687823295593
35,0,0.36892008781433105
36,1,0.8819589614868164
37,0,0.14825597405433655
38,1,0.8980242609977722
39,0,0.22976958751678467
40,0,0.49348875880241394
41,0,0.279874324798584
42,0,0.3046810030937195
43,0,0.18633247911930084
44,0,0.2784329056739807
45,0,0.3699946701526642
46,0,0.40672409534454346
47,1,0.8263946175575256
48,1,0.8756226897239685
49,0,0.3547781705856323
50,0,0.4388009011745453
51,0,0.20235610008239746
52,1,0.5711604952812195
53,1,0.8439655303955078
54,0,0.3184691369533539
55,0,0.22862166166305542
56,0,0.2594635486602783
57,0,0.34819650650024414
58,0,0.3233620524406433
59,0,0.38671135902404785
60,0,0.3466112017631531
61,0,0.3207683563232422
62,0,0.3003154397010803
63,0,0.3389303684234619
64,1,0.8987675905227661
65,1,0.7672319412231445
66,0,0.1654362827539444
67,0,0.22602225840091705
68,0,0.41790613532066345
69,0,0.3665299117565155
70,0,0.1594380885362625
71,1,0.8386749625205994
72,0,0.34222036600112915
73,0,0.3019885718822479
74,0,0.3100403845310211
75,1,0.7874870300292969
76,1,0.7613579630851746
77,1,0.8917376399040222
78,0,0.14478343725204468
79,0,0.32537975907325745
80,0,0.29336071014404297
81,0,0.2237391173839569
82,0,0.3799365162849426
83,0,0.34740522503852844
84,0,0.33514752984046936
85,1,0.9100970029830933
86,0,0.4525422751903534
87,0,0.45912817120552063
88,1,0.6548104882240295
89,1,0.9109681248664856
90,0,0.27614206075668335
91,0,0.3315642476081848
92,0,0.3691805601119995
93,1,0.9062709808349609
94,0,0.326029509305954
95,1,0.8377195596694946
96,1,0.6658335328102112
97,0,0.32550176978111267
98,0,0.3646993935108185
99,0,0.2516813576221466
100,1,0.8985074758529663
101,0,0.3098140060901642
102,0,0.24730315804481506
103,0,0.4099828898906708
104,0,0.2891879975795746
105,0,0.36019206047058105
106,0,0.2993904650211334
107,1,0.700439453125
108,1,0.8668163418769836
109,0,0.18357548117637634
110,0,0.43531882762908936
111,0,0.2703332006931305
112,1,0.5910354852676392
113,0,0.15134641528129578
114,0,0.33291900157928467
115,0,0.24542388319969177
116,0,0.22488360106945038
117,0,0.3936994671821594
118,1,0.8601033091545105
119,1,0.8984696865081787
120,1,0.8805346488952637
121,0,0.4918566346168518
122,0,0.3346666991710663
123,1,0.5054036974906921
124,1,0.8144500851631165
125,0,0.157335564494133
126,0,0.32324346899986267
127,0,0.31454870104789734
128,1,0.8372366428375244
129,0,0.24078570306301117
130,0,0.481414258480072
131,0,0.3838314116001129
132,0,0.25851988792419434
133,1,0.8885398507118225
134,0,0.20293930172920227
135,0,0.19338326156139374
136,0,0.2978089153766632
137,1,0.8691698908805847
138,1,0.8149738311767578
139,0,0.29527169466018677
140,0,0.3309951722621918
141,0,0.358354777097702
142,1,0.8255411982536316
143,0,0.15636470913887024
144,1,0.7678462266921997
145,0,0.1454535722732544
146,0,0.3258510231971741
147,1,0.9042133688926697
148,0,0.34005311131477356
149,0,0.3056145906448364
150,0,0.3699791133403778
151,1,0.9107102751731873
152,0,0.3641938865184784
153,1,0.8450661897659302
154,0,0.17895807325839996
155,1,0.5028977990150452
156,1,0.5870124697685242
157,0,0.2843780517578125
158,0,0.302700936794281
159,0,0.3164355158805847
160,1,0.8506304025650024
161,0,0.27402758598327637
162,0,0.27742311358451843
163,1,0.808342456817627
164,1,0.8681395649909973
165,1,0.8370552062988281
166,1,0.8432800769805908
167,0,0.4711824357509613
168,1,0.8770924806594849
169,0,0.35093528032302856
170,0,0.249578595161438
171,0,0.30393022298812866
172,0,0.3427656590938568
173,0,0.3517979085445404
174,0,0.2892303764820099
175,1,0.8915823698043823
176,0,0.1984085738658905
177,0,0.3502819538116455
178,0,0.24862389266490936
179,1,0.847280740737915
180,0,0.19266310334205627
181,0,0.4424334764480591
182,0,0.26311755180358887
183,1,0.6809075474739075
184,0,0.28172430396080017
185,0,0.3894760310649872
186,0,0.4269309937953949
187,0,0.17069970071315765
188,0,0.34888744354248047
189,0,0.41479259729385376
190,0,0.3121962249279022
191,0,0.33230939507484436
192,0,0.38639411330223083
193,1,0.8423516154289246
194,0,0.3395882546901703
195,1,0.8125753402709961
196,0,0.37847498059272766
197,0,0.3991650640964508
198,0,0.2823910415172577
199,0,0.2725299000740051
200,0,0.4721287488937378
201,0,0.2625977396965027
202,1,0.8000724911689758
203,1,0.8653244972229004
204,0,0.2985445559024811
205,0,0.4568348526954651
206,0,0.41335099935531616
207,0,0.3947420120239258
208,0,0.30461713671684265
209,0,0.3038184642791748
210,0,0.16052845120429993
211,0,0.3391248285770416
212,1,0.5644590854644775
213,0,0.29209238290786743
214,1,0.8360390067100525
215,0,0.17012697458267212
216,0,0.21679678559303284
217,0,0.3385843336582184
218,0,0.3795430064201355
219,0,0.38150933384895325
220,1,0.8860993981361389
221,0,0.2739329934120178
222,0,0.21374428272247314
223,0,0.30825597047805786
224,0,0.3045694828033447
225,0,0.4744825065135956
226,1,0.8767904043197632
227,0,0.1600082963705063
228,0,0.2852321267127991
229,0,0.3690773844718933
230,1,0.7936722636222839
231,0,0.33021366596221924
232,0,0.29819339513778687
233,1,0.5686307549476624
234,0,0.29870086908340454
235,1,0.8132922053337097
236,0,0.17306207120418549
237,0,0.3459280729293823
238,0,0.3982411324977875
239,0,0.30578649044036865
240,0,0.31110841035842896
241,1,0.7305688858032227
242,1,0.5596507787704468
243,1,0.739089846611023
244,0,0.15134641528129578
245,0,0.2864686846733093
246,1,0.5465171337127686
247,1,0.5505727529525757
248,0,0.1813395768404007
249,1,0.8929867744445801
250,1,0.9099227786064148
251,0,0.4711911678314209
252,0,0.27893584966659546
253,1,0.572439432144165
254,1,0.893637478351593
255,1,0.892777144908905
256,1,0.8613117337226868
257,1,0.8912850022315979
258,0,0.39301759004592896
259,0,0.35041651129722595
260,0,0.32734978199005127
261,0,0.33583658933639526
262,0,0.33741286396980286
263,1,0.8296908140182495
264,0,0.480593740940094
265,0,0.43035364151000977
266,1,0.8827324509620667
267,0,0.37982529401779175
268,0,0.3699744939804077
269,1,0.5120048522949219
270,1,0.8892742991447449
271,1,0.6070658564567566
272,1,0.5379675626754761
273,0,0.3337652087211609
274,0,0.39233723282814026
275,0,0.3287597596645355
276,0,0.29834866523742676
277,0,0.2315390557050705
278,0,0.31364622712135315
279,0,0.38256585597991943
280,0,0.3793151080608368
281,1,0.8670501708984375
282,0,0.3682944178581238
283,0,0.3596113622188568
284,0,0.28599467873573303
285,1,0.8988057374954224
286,0,0.2768159806728363
287,0,0.40950945019721985
288,0,0.2970034182071686
289,1,0.8403650522232056
290,1,0.9114046692848206
291,1,0.506689190864563
292,1,0.8345355987548828
293,0,0.46785956621170044
294,0,0.4030658006668091
295,1,0.7220097780227661
296,0,0.26209479570388794
